producto,pais,comentario,calificacion,perfil,titulo_comentario
Apple iPhone XR (64GB), India ,Best iPhone Iâ€™ve used. Sold my one plus 6 and got this one. The screen is not an OLED so you miss out on deep blacks and saturation. But I noticed the colours are better than the older iPhones with LCD. It also has thick bezels which take some time to get used to. An OLED screen on this wouldâ€™ve been wonderful but apple being apple wont do that!,5.0,Suraag,Amazing phone! iOS makes it worth the money! Delivered 3 days late by the seller.
Apple iPhone XR (64GB), India ,Poor Front camera cannot take photo with light at background (photo attached),1.0,Amazon Customer,Worst camera
Apple iPhone XR (64GB), India ,"This is my first phone from Apple. I was in confusion in buying between pixel and iphone. Even though pixel is far superior than apple in all departments, I went for iphone due to craziness. The product is well packed and delivered. When I started using the phone, the screen looks average, battery is good and the hardware seems good. The camera disappoints me al lot. Never expect this from Apple. In particular, the front camera is worst, in indoor lightning conditions and can see dots in image like a VGA camera.  At a cost of 60k, I was more so curious about the camera. It disappoints me badly. Even my motorola camera works well. If you are crazzy for the brand, go for it. Else definitely, you can go for other models in the market.",1.0,Dinesh,Disappointed !!!
Apple iPhone XR (64GB), India ,This Appario seem to be a fraud. My shipment has been smartly tampered and the have managed to overcome the security features. Even iPhone package back label have been tampered. Amazon Customer Care on phone or Twitter is of no help. I need to return this and get a replacement.,1.0,Amazon Customer,Tampered shipment & product
Apple iPhone XR (64GB), India ,"Most Beautiful, Fast and Stylish iPhone, I've ever Had..",5.0,Sushil Nagpal,"Most Beautiful, Fast and Stylish iPhone, I've ever Had.."
Apple iPhone XR (64GB), India ,"Like every time, Apple has again mesmerised me with itâ€™s great creation iPhone XR. The best part in this is when you unbox your brand new iPhone. It comes with an earpod, and a Fast charger. I understand that the price might be a bit high but trust me, itâ€™s worth it. The camera has the best feature within it. Everyone says that itâ€™s an LCD screen but youâ€™ll nit be able to differentiate just by looking at the screen. The phone performance  is more faster now. And last but not the least, I am really impressed with the battery back up time. It really lasts. Full charge at 10 am and then the whole day on Cellular Data, I have played PES2019, played some songs from YouTube Music, hovering on Whatsapp, Instagram, Facebook and clicked some good photos. When i came back home at 11 oâ€™clock, i still had 66% charge. Thatâ€™s what we needed in an iPhone.",5.0,Kusan Majumder,The Best Choice !
Apple iPhone XR (64GB), India ,iPhone XR is excellent there is no doubt about this. This first time my iPhone experience. Its great experience. But I am very unhappy about the dual sim performance (May be solved the problem).,3.0,Mondal,Problem with Dual SIM
Apple iPhone XR (64GB), India ,Been a iPhone user always. Upgraded to iPhone XR from iPhone 6 and I have no regrets. Just love the ease that face recognition brings in... freedom that 128GB memory brings in... and of course peace of mind that Apple brand name brings in.,5.0,Santanu Biswas,Best iPhone till date
Apple iPhone XR (64GB), India ,the phone wont turn on,1.0,varun,faulty product sent
Apple iPhone XR (64GB), India ,"A lot of criticism of iPhone XR has been about its inability to take portrait pics of â€œonly human faces!â€ Though true, it can be very easily overcome by downloading a software app - â€œHalide!â€ That and the near negligible difference in viewing experience, puts it on par with iPhone XS and even XS Max! Just go for itâ€” the 256 GB storage version!",5.0,Vyver,Go for iPhone XR 256GB!
Apple iPhone XR (64GB), India ,Prices have fallen by rs 10000 in 3 days after I bought my phone. I feel terrible.,1.0,H S.,Prices have fallen by rs 10000 in 3 days after I bought my phone. I feel terrible.
Apple iPhone XR (64GB), India ,Faulty product delivered and Amazon not giving replacement. Cheating with customer and just making money by scam and defective product delivery. Phone is not usable as display stop working randomly and screen freeze suddenly. I have provide problem video also to Amazon within 10 days of replacement but Amazon just making money and cheating with customer.,1.0,Ratnesh,Pathetic service from Amazon
Apple iPhone XR (64GB), India ,Â Iphone is good but probably I have received a defective piece from amazon as I am facing issues with software. Further never heard a iphone to be hanging issue but I am facing the same and attached a video regarding it. Within a month I have to visit customer care and still facing issues. Very worst experience donâ€™t buy it from amazon.,1.0,Prince kumar,Just donâ€™t buy it from amazon totally waste of money.
Apple iPhone XR (64GB), India ,"Super fast performance, long battery hours, little heavier than iphone 7 plus. Overall good phone.",5.0,mike,"Fast, long battery hours"
Apple iPhone XR (64GB), India ,Has many drawbacks. Apps developed for iPhone by Indian Companies arenâ€™t good at all. You canâ€™t even do a normal Tatkal booking as irctc app unavailable. No dual Whatsapp so one number is wasted. No dual Facebook as well. Maximum 5gb cloud backup storage limit. Apps get refreshed more frequently and better enhancements on android. No features to search apps easily. Wifi once disconnected loses auto join features. Maximum 100 call records thatâ€™s very very annoying. Difficult to set primary and secondary sims in sms. Some Whatsapp features missing.,2.0,Aniruddha Ghosh,Disappointing in many ways
Apple iPhone XR (64GB), India ,It is heavy weight if u use more ull feel it hard to hold on regular note!,3.0,Amazon Customer,It is heavy weight phone
Apple iPhone XR (64GB), India ,"There have been multiple issues faced since started installing and restoring from icloud. Gets hanged/stuck, suddenly WiFi gets disconnected and doesn't get connected till restart, deteriorated network speed on usage of the data.....",1.0,Arun Stambhampelli,Bad quality/performance
Apple iPhone XR (64GB), India ,"First off, the battery life is INCREDIBLE! This is the first phone I have used where I can get two days of use on one charge! I would regularly charge the phone overnight one night, then go to bed at midnight with 55-60% left the next night, leave it unplugged, and finish the next day at midnight with around 2-5%. The size of the phone was just just about perfect for holding/scrolling with one hand, and I usually wear menâ€™s size medium gloves for reference.",5.0,Bharat Oberoi,Superb price thanx to amazon
Apple iPhone XR (64GB), India ,"When compared with XS only visible difference would be screen, that too when kept side by side.",5.0,Apurv Sinha,Worth Every Penny
Apple iPhone XR (64GB), India ,"Awesome IPhone.. I have upgraded from iPhone 6 and I can notice the significant different in display, touch and XR is certainly faster. Itâ€™s worth the upgrade..! Thank you Amazon for delivering it securely.",5.0,Richa G.,I love it..!
Apple iPhone XR (64GB), India ,"Got this phone for offer price. Everything is great from packing to delivery. Display quality is very good. Dual sim option is very good, got esim from airtel",5.0,Karthik S,Xcellent phone
Apple iPhone XR (64GB), India ,Bought this phone for my wife. She's absolutely happy with the phone.,5.0,Arnab Chowdhury,Best iPhone to buy at this price.
Apple iPhone XR (64GB), India ,I want to replace this iphone because since i got this it worked well for w week then later on its speed is slowed down and even it hangs sometimes. Its been 3 months since i got this n i m already irritated with this device. My lighting usb has already stopped working .,1.0,Amazon Customer,Swap my iphone xr
Apple iPhone XR (64GB), India ,Great phone for better photos and low light battery usage is much better than X,5.0,Monty,Thanks apple India. Very very thanks amazon for faster delivery and original product
Apple iPhone XR (64GB), India ,"So overall itâ€™s a pretty nice phone, I honestly donâ€™t find much difference in features from my old iPhone 6. Apart from face recognition.",4.0,Souqa Lifestyle,Good phone but horribly heavy
Apple iPhone XR (64GB), India ,Good phone,5.0,Shaiju Georger,Very good phone very fast
Apple iPhone XR (64GB), India ,"Iâ€™ve been using Android for close to a decade and now decided to check out iOS. Thanks to Amazon Prime Sale, got iPhone XR for a discounted price(Still expensive), Coming to the iPhone itself, after using phone for 3 days, below are the points I came across.",4.0,Bharath Yadav,My First Apple iPhone
Apple iPhone XR (64GB), India ,Using this phone since 2 months. Here is my review. Hope you will find it useful.,5.0,Prashant,Nice Phone
Apple iPhone XR (64GB), India ,"I was skeptical looking at some XR reviews and also purchasing an iPhone off Amazon (previously always bought through Apple Stores). However, so far happy with what I have. The delivery was fast (on Prime, next day)",,,
Apple iPhone XR (64GB), India ,I got a defective iPhone XR. The screen is defective. Thereâ€™s a blue shade on all the four sides of the screen. The phoneâ€™s working completely fine though.  So whoever purchased the phone while unboxing please check your device thoroughly. It was my mistake that i thought that maybe itâ€™s something related to software which will be fixed after software update but it didnâ€™t. And in that belief i skipped my 10 days return policy as well. I still donâ€™t blaim amazon because i have purchased my Airpods from them as well. But still appario should not sell defective products to customers. Now i have to go through a hassle of getting the screen replaced from service centre and for that service centre will keep my phone for at least 7-10 days. Itâ€™s disappointing that i have to go through all this for a brand new phone. The reason why i didnâ€™t upload a pic is bcuz it will not be visible in a pic taken from another phone.,2.0,Mandeep Kumar,Got a defective screen product delivered.
Apple iPhone XR (64GB), India ,ALL good,5.0,Ritika,Loved it
Apple iPhone XR (64GB), India ,"Â I chose iPhone XR over x. The reasons are, it is 6.1-inch display and supports dual sim. the Battery Durability longs last. I got the Brand New peace (made in 2019, September) without any defect.",5.0,Syam Jeevan,Blindly go for it.
Apple iPhone XR (64GB), India ,"During the great India sale, I saw this model on offer and my sister was dying to get a new phone since her old phone was barely keeping up. I finally made up my mind,, arranged the funds and got it for my sister.",5.0,Subhradeep ,Apple's most selling model
